CUSTOMER_ID,BALANCE,PURCHASES,PAYMENTS,CREDIT_LIMIT,MINIMUM_PAYMENTS
1,1500.25,1200.50,800.75,2000.00,100.00
2,2500.75,1800.25,1500.50,3000.00,150.00
3,800.50,600.25,400.75,1000.00,50.00
4,3500.25,2800.75,2000.50,4000.00,200.00
5,1200.75,900.50,700.25,1500.00,75.00
6,4200.50,3500.25,2500.75,5000.00,250.00
7,950.25,750.50,500.75,1200.00,60.00
8,1800.75,1400.25,1000.50,2200.00,110.00
9,2800.50,2200.75,1600.25,3300.00,165.00
10,1100.25,850.50,650.75,1300.00,65.00
11,3800.75,3000.25,2200.50,4500.00,225.00
12,1300.50,1000.75,750.25,1600.00,80.00
13,2200.25,1700.50,1300.75,2700.00,135.00
14,3200.75,2600.25,1900.50,3800.00,190.00
15,900.75,700.25,450.50,1100.00,55.00
16,1600.25,1200.75,900.50,1900.00,95.00
17,2600.75,2000.25,1500.50,3100.00,155.00
18,1000.50,800.75,600.25,1200.00,60.00
19,3900.25,3100.75,2300.50,4600.00,230.00
20,1400.75,1100.25,800.50,1700.00,85.00 
